UNIQUE_ID,SMILES,ORIGINAL_SMILES,LOG_HLM_CLint,LOG_RLM_CLint,LOG_MDR1-MDCK_ER,LOG_HPPB,LOG_RPPB,LOG_SOLUBILITY,dset,group,fold,lgbm_morgan,lgbm_desc,chemprop,chemprop_rdkit
01626cc4d6708ac7fa2d3483546a8ad467de7654,C#C[C@@](C)(CC)NC(=O)c1cc(F)cnc1NC1CC(F)(F)C1,C#C[C@@](C)(CC)NC(=O)c1cc(F)cnc1NC1CC(F)(F)C1,1.842771446,2.495928511,-0.095595312,0.671265433,0.850278553,,train,butina,0,,,,
01dc047615805a85021a33b50049acf914e056cb,COc1cc2nc(-c3cc(F)ccc3O)nc(N[C@@H]3CNC[C@H]3C(C)(C)O)c2cc1OC,COc1cc2nc(-c3cc(F)ccc3O)nc(N[C@@H]3CNC[C@H]3C(C)(C)O)c2cc1OC.Cl,,,,-1.119186408,-0.823908741,,train,butina,0,,,,
02cfb394a56983db84ae26d60d21a1f2b753d3c5,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,0.675686709,1.180527283,,0.969835093,0.628286731,,train,butina,0,,,,
02d5bb12e2738037196371749b7a7b5503e04791,CC(C)NCC(O)COc1cccc2ccccc12,CC(C)NCC(O)COc1cccc2ccccc12,1.327231598,3.318275952,-0.162401489,,1.347759218,,train,butina,0,,,,
04954a23b8380b3eb5e4f8316264232938cce314,CCc1nc(C)cn2nc(-c3cc(=O)n4cc(C5CCN(C)CC5)cc(C)c4n3)cc12,CCc1nc(C)cn2nc(-c3cc(=O)n4cc(C5CCN(C)CC5)cc(C)c4n3)cc12,0.675686709,1.409628842,0.559004282,0.868232868,0.593618308,1.247359422,train,butina,0,,,,
055417459ae7281a44bdd84deedec1e2ff81d4c4,C=CC(=O)N1CCC[C@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,C=CC(=O)N1CCC[C@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,2.219660482,2.712971095,0.762732149,0.983851719,0.276231958,1.75089392,train,butina,0,,,,
08c691b443f76d4ac3d3fb4e1072ebd8501085e9,CNC(=O)C1(Cc2ccc(-c3ccncc3)cc2)CCN(Cc2cccc(F)c2)C1,CNC(=O)C1(Cc2ccc(-c3ccncc3)cc2)CCN(Cc2cccc(F)c2)C1,2.398082434,2.949896713,,1.10503305,0.715167358,1.759667845,train,butina,0,,,,
0906db47f8df6aa6202976a890b594df0994dfb0,CN1C(N)=N[C@](C)(c2cc(NC(=O)c3ccc(F)cn3)ccc2F)CS1(=O)=O,CN1C(N)=N[C@](C)(c2cc(NC(=O)c3ccc(F)cn3)ccc2F)CS1(=O)=O,0.675686709,1.915521189,1.970451844,1.560468571,1.491417728,,train,butina,0,,,,
0a985a5ad7362a07b690310027a4d347770317d2,CC(C)[C@@](C)(O)[C@@H]1CN(c2nc(-c3n[nH]c4ncccc34)c(F)cc2Cl)CCN1,CC(C)[C@@](C)(O)[C@@H]1CN(c2nc(-c3n[nH]c4ncccc34)c(F)cc2Cl)CCN1,,,,1.302460808,0.622421274,,train,butina,0,,,,
0e4fa95dbae0b76dc3195318045e20b8b597cfbc,Cc1c(C(=O)NCCCN(C)C)sc2ncnc(Nc3ccc(F)cc3OC(C)C)c12,Cc1c(C(=O)NCCCN(C)C)sc2ncnc(Nc3ccc(F)cc3OC(C)C)c12,0.675686709,1.719090867,1.77253534,0.741821047,0.966376423,1.372175286,train,butina,0,,,,
